Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Size,Founded,Type_of_ownership,Industry,Sector,Revenue
Principal Machine Learning Engineer,Employer Provided Salary:$156K - $303K,"Our Opportunity:
Do you want to build a model that changes customer experience? Do you actually want to see your ideas, your pipelines, your architecture, your experiment really affect the business? If so, Chewy Search & Recommendations team is hiring!
We use the best machine learning techniques to simplify product discovery for pet parents looking for their pet needs on Chewy.com. Our exceptional multi-disciplinary team of data scientists, data engineers, software/front-end engineers, and product managers work together to power personalized recommendations and search for pet parents.
Our mission is to make Chewy a trusted partner who meets pet-parents’ needs in an intuitively personalized and friction-free way. Our team has single threaded ownership of the space allowing us to decide impactful products that we can experiment with, measure with metrics, and deliver to maximize value to our customers.",3.5,"Chewy
3.5","Bellevue, WA",10000+ Employees,2011,Company - Public,Pet & Pet Supplies Stores,Retail & Wholesale,$5 to $25 million (USD)
Senior Data Scientist,Employer Provided Salary:$144K - $200K,"Position Summary...

What you'll do...

Senior Data Scientist - Market Intelligence

As part of the Customer Insights & Strategy team in the Marketing org at Walmart, the Senior Data Scientist of Market Intelligence helps drive organization's understanding of competitive landscape to fuel market share growth. Our ideal candidate is a sharp, thoughtful, and collaborative problem solver, who enjoys uncovering key business drivers and challenges, and then building data science and analytics solutions to enable strategic decision making. You will have direct visibility with executives and drive our strategic initiatives to support the rapid growth of our omni-channel businesses.



Named Ad Age's Marketer of the Year in 2022, you'll join an internationally recognized team of thinkers, creators, and problem solvers passionate about helping people save money and live better.

Walmart Marketing is a dynamic, multidimensional organization dedicated to redefining how the world shops through impactful creative and fast-paced innovation - all grounded in customer insights and brand strategy. We live out our company values each day while striving to exceed customer expectations and drive growth for the company.

We orchestrate marketing campaigns and experiences that reach millions of daily shoppers. Our work spans the digital and physical spaces and combines the work of numerous internal teams and external advertising and media agencies. Our teams work together to show our customers how they can save money and live better. If you are motivated by complex challenges and want to build the future of commerce and consumer services, a Marketing role at Walmart could be what you've been looking for.

Our Marketing team has flexibility on location, for most of our openings, you can live within driving distance to one of our hubs: Bentonville, AR, Hoboken, NJ, San Bruno, CA, Sunnyvale, CA or Los Angeles, CA, with preference given to our San Bruno, CA office. We're moving toward 3 days in the office per week, with flexibility.

:









Walmart, Inc. is an Equal Opportunity Employer - By Choice. We believe we are best equipped to help our associates, customers and the communities we serve live better when we really know them. That means understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions - while being inclusive of all people.



Join Walmart and your work could help over 275 million global customers live better every week. Yes, we are the Fortune #1 company. But you'll quickly find we're a company who wants you to feel comfortable bringing your whole self to work. A career at Walmart is where the world's most complex challenges meet a kinder way of life. Our mission spreads far beyond the walls of our stores. Join us and you'll discover why we are a world leader in diversity and inclusion, sustainability, and community involvement. From day one, you'll be empowered and equipped to do the best work of your life. careers.walmart.com

At Walmart, we offer competitive pay as well as performance-based incentive awards and other great benefits for a happier mind, body, and wallet. Health benefits include medical, vision and dental coverage. Financial benefits include 401(k), stock purchase and company-paid life insurance. Paid time off benefits include PTO (including sick leave), parental leave, family care leave, bereavement, jury duty, and voting. Other benefits include short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more.

You will also receive PTO and/or PPTO that can be used for vacation, sick leave, holidays, or other purposes. The amount you receive depends on your job classification and length of employment. It will meet or exceed the requirements of paid sick leave laws, where applicable. For information about PTO, see https://one.walmart.com/notices .

Live Better U is a Walmart-paid education benefit program for full-time and part-time associates in Walmart and Sam's Club facilities. Programs range from high school completion to bachelor's degrees, including English Language Learning and short-form certificates. Tuition, books, and fees are completely paid for by Walmart.

Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to a specific plan or program terms. For information about benefits and eligibility, see One.Walmart at https://bit.ly/3iOOb1J .

The annual salary range for this position is $144,000.00-$200,000.00

Additional compensation includes annual or quarterly performance incentives.

Additional compensation for certain positions may also include:





Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Option 1- Bachelor's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 3 years' experience in an analytics related field. Option 2- Master's degree in Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, or related field and 1 years' experience in an analytics related field. Option 3 - 5 years' experience in an analytics or related field.



Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.

Data science, machine learning, optimization models, Master's degree in Machine Learning, Computer Science, Information Technology, Operations Research, Statistics, Applied Mathematics, Econometrics, Successful completion of one or more assessments in Python, Spark, Scala, or R, Using open source frameworks (for example, scikit learn, tensorflow, torch)


850 Cherry Avenue, San Bruno, CA 94066-3031, United States of America",3.4,"Walmart
3.4","San Bruno, CA",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD)
General Engineer - Data Scientist/Statistician/Mathematician/Methodologist/Computer Scientist,Employer Provided Salary:$116K - $151K,"Duties
***This position will be associated with an opportunity for appointment as tenure-track Professor/Associate Professor at the University of Utah School of Medicine.***
Drives clinical process improvement associated with informatics implementations
This role requires a high degree of inventiveness and deep understanding of process analytics.
Develops, translates, and applies methods for analyzing complex clinical processes with the goal of optimization of clinical pathways and provision of clinical decision support.
Monday - Friday, 8am - 4:30pm
: Available
: Available
772210
The work is mostly sedentary; however, there is some walking, bending, stooping, and carrying of light books and documents. Some work may require extended periods of walking, standing, or swiftly moving while performing observations in a clinical environment, including urgent and ambulatory care settings. The employee may carry instruments, devices, or equipment used for testing when performing with a mobile lab, although the work does not require any special physical effort.",3.7,"US Veterans Health Administration
3.7","Salt Lake City, UT",10000+ Employees,1930,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
Data Instrument Engineer,$102K - $143K (Glassdoor est.),"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced Data Instrument Engineer, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery.

Work you'll do/Responsibilities

This is an opportunity to join a fast-paced team that plays a key role in the overall success of our client's organization through technology enablement. You'll play a critical part in driving the technology vision forward and ensuring that we execute across multiple initiatives.



As a part of the US Strategy & Analytics Offering Portfolio, the AI & Data Operations offering provides managed AI, Intelligent Automation, and Data DevOps services across the advise-implement-operate spectrum.",4.0,"Deloitte
4.0","San Francisco, CA",10000+ Employees,1850,Company - Private,Accounting & Tax,Financial Services,$10+ billion (USD)
Applied Artificial Intelligence Machine Learning - Sr Associate,Employer Provided Salary:$145K - $210K,"JOB DESCRIPTION

We are looking for a Data Scientist/ML Engineer to join our technology team to solve exciting business problems in the domain of commercial banking, payments and financial services. Candidates must have a strong curiosity for data and a proven track record of successfully applying rigorous scientific methods with proficiency in ML Engineering and DevOps capabilities. This is a unique opportunity to apply your skills and have a direct impact on global business.
The ideal candidate will have a strong knowledge of ML, NLP, Deep Learning, Knowledge Graphs and have experience working with massive amounts of data. They should also have strong software engineering skills and the ability to build systems that reach JP Morgan scale.






Commercial Banking is focused on helping our clients succeed and making a positive difference in our communities. We provide credit and financing, treasury and payment services, international banking and real estate services to clients including corporations, municipalities, institutions, real estate investors and owners, and nonprofit organizations.",4.0,"JPMorgan Chase & Co
4.0","Plano, TX",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Sr. Data Scientist,$102K - $138K (Glassdoor est.),"DLA Piper is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran. Job applicant poster viewing center.

About Us
DLA Piper is, at its core, bold, exceptional collaborative and supportive. Our people are the backbone, heart and soul of our firm. Wherever you are in your professional journey, DLA Piper is a place you can engage in meaningful work and grow your career. Let’s see what we can achieve. Together.",3.9,"DLA Piper
3.9","Chicago, IL",5001 to 10000 Employees,2005,Company - Private,Legal,Legal,$1 to $5 billion (USD)
Principal Data Scientist,$115K - $154K (Glassdoor est.),"We provide technology that financial institutions use to manage risk and drive growth. Our solutions automate key processes – from anti-money laundering to fraud detection to CECL readiness to digital lending – empowering our customers by addressing their Enterprise Risk Management needs.
Abrigo is seeking a talented and driven Principal Data Scientist with a deep understanding of data analytics, machine learning, and cloud technologies, specifically AWS. In this role, you will play a pivotal role in developing and executing data-driven strategies to address complex business challenges, drive growth, and improve decision-making processes.
If you are a highly motivated data scientist with a passion for AWS and a track record of delivering impactful data-driven solutions, we encourage you to apply. Join our team and contribute to shaping the future of Abrigo through advanced data analytics and innovative technologies. This person will report to the Senior Director, Product Management.",4.2,"Abrigo
4.2","Raleigh, NC",201 to 500 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Senior Data Scientist,-1,"Role: Senior Data Scientist
Work Mode: 100% Remote
Duration: 6+Months
ClinDCast is looking for skilled Senior Data Scientist for one of our reputed clients. This profile is 100% remote.
Job Description:
A Senior Data Scientist is a professional with extensive experience and expertise in data science, machine learning, and statistical analysis. They play a critical role in extracting insights and generating value from large and complex datasets.",4.0,"ClinDCast LLC
4.0",Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$150K - $275K,"About Advance OC
Advance OC is a nonprofit organization with a mission to use innovation and strategic philanthropy to address inequities in Orange County communities and beyond, by leveraging the power of modern-day technologies and systems thinking to transform the next generation of community advancement. We bring together leaders from the public, private and non-profit sectors to champion equity-oriented, data-driven strategies.
Advance OC is an opportunity for transformation. We are about grit and innovation. With a diverse team comprising backgrounds in technology, finance, theology, publishing, law, public policy and healthcare, we bring unique perspectives to the problems at hand.",-1,Advance OC,"San Juan Capistrano, CA",-1,-1,-1,-1,-1,-1
Sr. Data Scientist,$131K - $175K (Glassdoor est.),"Leading the future in luxury electric and mobility
At Lucid, we set out to introduce the most captivating, luxury electric vehicles that elevate the human experience and transcend the perceived limitations of space, performance, and intelligence. Vehicles that are intuitive, liberating, and designed for the future of mobility.
We plan to lead in this new era of luxury electric by returning to the fundamentals of great design – where every decision we make is in service of the individual and environment. Because when you are no longer bound by convention, you are free to define your own experience.
Come work alongside some of the most accomplished minds in the industry. Beyond providing competitive salaries, we’re providing a community for innovators who want to make an immediate and significant impact. If you are driven to create a better, more sustainable future, then this is the right place for you.

The Data Science and Machine Learning team at Lucid is on the mission to design, develop, and deploy AI solutions to help make safe and sustainable products and services on par with Lucid’s Luxury brand. Data generated by electric vehicles is rich and diverse and driving insight from them is a very exciting and challenging task. The Data Scientist at Lucid is setting data science foundation for our fast-growing data team, to enable the company tackle engineering and business challenges by designing analytics and AI solutions. This opportunity involves defining the path to discover trends, patterns and hidden insights from data while collaborating with the most brilliant talents in the automotive industry to build AI products.",3.2,"Lucid Motors
3.2","Newark, CA",5001 to 10000 Employees,2007,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
Machine Learning Engineer,$106K - $152K (Glassdoor est.),"This is a San Francisco based position that is currently remote and will have a hybrid schedule once we return to office. We are open to candidates willing to relocate to the San Francisco Bay Area.

ABOUT GELI
Geli (Growing Energy Labs, Inc.) provides software and business solutions to design, connect, and operate energy storage systems ranging in size from residential to utility-scale, as well as grid-tied, microgrid, and off-grid systems. Geli’s suite of products creates an ecosystem where project developers, OEMs, financiers, and project operators can deploy advanced energy projects using a seamless hardware-agnostic software platform.

Geli is a subsidiary of Hanwha Q CELLS, one of the world’s largest photovoltaic manufacturers most recognized for its high-performance, high-quality solar cells and modules.",3.0,"Qcells
3.0","San Francisco, CA",501 to 1000 Employees,1999,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD)
Machine Learning Engineer,$82K - $123K (Glassdoor est.),"Description
Active TS/SCI clearance with polygraph is required
Bytoa is seeking an ambitious, career- and customer-focused Machine Learning Engineer to to support the design, development and sustainment of a set of tools that support data analytic and data exploration applications in a Kubernetes environment. Bytoa offers opportunities to stay current with the latest technologies and trends, and future industry movement related to data analytics and machine learning. You’ll be able to design, develop, maintain and enhance data analytic solutions for our customers.
In this position, you’ll be tasked with:",5.0,"Bytoa
5.0","Annapolis Junction, MD",1 to 50 Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
DATA SCIENTIST,$90K - $142K (Glassdoor est.),"JOB OPENINGS >> Data Scientist
Data Scientist
Summary
Title:
Data Scientist

ID:
1404

Location:
Fort Eustis, VA",4.7,"ADVANCED MANAGEMENT STRATEGIES GROUP(AMSG)
4.7","Fort Eustis, VA",Unknown,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Engineer,$91K - $130K (Glassdoor est.),"At DuoPeak we’re a team of passionate and hard-working individuals with a real love for mobile games. We found ourselves enamored with understanding the process of what makes a game successful. Through our combined understanding, we found that the real essence of a successful game comes down to three things: Product, Marketing and Operations.

What we’re looking for is the Data Engineer, who will thrive in an environment that is hands on and is always looking for ways to improve and further our business through big data and AI. We are offering a large opportunity for growth.







Apply",-1,DUOPEAK,"Menlo Park, CA",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$82K - $118K (Glassdoor est.),"Exciting Opportunity for a Data Scientist in the Cutting-Edge Cold Chain Solutions Industry!
Are you a passionate Data Scientist looking to make a significant impact in the rapidly evolving cold-chain solutions field? Join our dynamic team and contribute your expertise to revolutionize how we manage temperature-sensitive products worldwide.
Key Responsibilities:
Manage predictive analytics projects from discovery through execution and ongoing maintenance and improvement
Collaborate with Global Product Managers for both digital and tangible solutions to understand requirements, dependencies, and KPIs",3.4,"CSafe Global
3.4","Monroe, OH",Unknown,-1,Company - Private,Shipping & Trucking,Transportation & Logistics,Unknown / Non-Applicable
Bioinformatics Analyst / Data Scientist,Employer Provided Salary:$59K - $86K,"University Staff
Description

University of Colorado Anschutz Medical Campus
Department: Linda Crnic Institute for Down Syndrome
Official Title: Research Services Information Science Professional (Open Rank: Senior – Principal)
Job Title: Bioinformatics Analyst / Data Scientist
Position: #00812457 – Requisition: #30767",3.8,"University of Colorado
3.8","Aurora, CO",10000+ Employees,1876,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
Digital Customer – Machine Learning & Data Lab – Stage,$64K - $103K (Glassdoor est.),"Description de l'entreprise
Dans un monde où savoir se transformer est la clé du succès, Wavestone s’est donné pour mission d’éclairer et guider les grandes organisations dans leurs transformations les plus critiques. Des transformations qui visent à répondre aux grands enjeux stratégiques auxquels elles vont faire face dans les années à venir : l’accélération de la révolution numérique, l’intensification de la concurrence, ou encore la prise en considération de l’urgence climatique.
Le cabinet possède des compétences sectorielles centrées sur le cœur de métier de ses clients, des compétences technologiques parmi les plus pointues tant sur le digital, les systèmes d’information qu’en matière de cybersécurité, et des compétences en développement durable. Wavestone se distingue dans sa capacité à conjuguer étroitement toutes ces compétences, sans couture, au sein d’équipes pluridisciplinaires afin d’apporter une réponse à 360°, en phase avec les grands enjeux auxquels sont confrontés ses clients.",4.1,"Wavestone
4.1","Paris, TX",1001 to 5000 Employees,2016,Company - Public,Business Consulting,Management & Consulting,$500 million to $1 billion (USD)
Machine Learning Engineer,-1,"As our first Machine Learning Engineer at Assetario you will be the ‘bridge’ between our data science and engineering team. You will execute the engineering side of putting our ML algorithms into production.

This is an ideal opportunity to be part of one of the fastest growing startups in the industry, with the opportunity to grow a division and team around you as we scale.
‍
EUROPE
REMOTE
We are Assetario
We love data. We are gamers. We are engineers. Phenomenal team of MIT graduates, technical experts and advisors who lead multi-billion-dollar businesses.
Our engineering and data teams cooperate with the goal of building a smart platform to process your users’ data, to drive personalised app experiences. Our platform processes hundreds of terabytes of data with tens of millions of daily active users with hundreds of ML models in production.",-1,Assetario,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Incentivio is unique in the restaurant tech space. Growing 250%+ YoY, Incentivio is set to break the norms of how restaurants drive guests to their business! As restaurants continue to struggle with labor shortages, 3rd party delivery economics and juggling a complex tech stack, Incentivio’s market leading data-driven engagement and analytics platform is designed to help restaurant’s reclaim their guests, data, and brand awareness while continuing to grow and thrive!
Incentivio is a fast-growing startup that helps restaurants increase revenue and margins by owning the digital guest experience - from branded mobile apps to online ordering, loyalty, delivery, analytics, and much more. Our cloud-based platform allows restaurants to launch branded digital guest experiences in weeks, and our restaurant clients hail from all over North America - from Florida to Montreal and British Columbia to San Diego. We're looking for hard-working, self-motivated individuals to join our growing team (70+ team members) and help us make a difference in the restaurant industry!",-1,Incentivio,Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Data Scientist,-1,"Location: Green Bay, WI

Shift: 1st Shift

Work model: Hybrid

Job overview:

Schneider is seeking a Senior Data Scientist in Green Bay, WI to design and implement analytic models that deliver actionable business insights and decision support. The Senior Data Scientist will be responsible for data identification, data preparation, model selection and model creation, as well as preparing reports of findings and presenting them to company executives.









Our history has taught us that treating everyone with dignity and respect is vital to our ongoing success. We embrace and seek out diversity that is inclusive of thought, race, ethnicity, national origin, sex, gender, gender expression, age, religion, sexual orientation, ability, medical condition, veteran or military status, experience and background. We find that this diversity and openness ensures that all our associates have equal access to opportunities and resources to contribute fully to the organization's success, and it fuels innovation, improves strategic thinking and cultivates leadership.",3.6,"Schneider
3.5","Green Bay, WI",10000+ Employees,1935,Company - Public,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
Data Scientist,$115K - $179K (Glassdoor est.),"Job Description:

Handle large datasets, coding advanced analytical models to perform data analysis, and developing predictive models.
Build broad range of statistical models, predictive modeling, acquisition, cross-sell, up-sell, segmentation, retention, risk assessment, sales forecasting, and customer loyalty using classical statistical/econometric methods, data mining approaches, and machine learning.
Collaborate with infrastructure architects in assessing and addressing the requirements for more automated, streamlined systems and for the data governance required for agile and responsive data manipulation.",4.3,Cloudwick,"Newark, CA",Unknown,-1,Self-employed,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$79K - $109K (Glassdoor est.),"Calling all innovators – find your future at Fiserv.
We’re Fiserv, a global leader in Fintech and payments, and we move money and information in a way that moves the world. We connect financial institutions, corporations, merchants, and consumers to one another millions of times a day – quickly, reliably, and securely. Any time you swipe your credit card, pay through a mobile app, or withdraw money from the bank, we’re involved. If you want to make an impact on a global scale, come make a difference at Fiserv.
Job Title
Data Scientist
What does a successful Data Analyst/Scientist do at Fiserv?",3.1,"Fiserv, Inc.
3.1","Lincoln, NE",10000+ Employees,1984,Company - Public,Financial Transaction Processing,Financial Services,$10+ billion (USD)
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Unknown / Non-Applicable
"Principal Data Scientist, Professional Services",Employer Provided Salary:$146K,"Bachelor’s degree in a quantitative field (Computer Science, Machine Learning, Physics, Mathematics, etc.)
10+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++
Experience writing and speaking about technical concepts to business, technical, and lay audiences and giving data informed presentations
Would you like to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Are you excited about using data to develop ML models something you excel at? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?

At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions. AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, then we would like you to join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, inspection, discovering root causes, and designing long-term solutions.

Key job responsibilities
About the team
The Global Practice Organization for Analytics is a team inside the AWS Professional Services Organization. Our mission in the Global Practice Organization is to be at the forefront of defining machine learning domain strategy, and ensuring the scale of Professional Services' delivery. We define strategic initiatives, provide domain expertise, and oversee the development of high-quality, repeatable offerings that accelerate customer outcomes.

Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.
This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.

We are open to hiring candidates to work out of one of the following locations:

Austin, TX, USA | Boston, MA, USA | Chicago, IL, USA | Herndon, VA, USA | Miami, FL, USA | Minneapolis, MN, USA | New York, NY, USA | Portland, OR, USA | San Diego, CA, USA | San Francisco, CA, USA

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $145,800/year in our lowest geographic market up to $294,700/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",3.8,"Amazon Web Services, Inc.
3.8","Portland, OR",Unknown,2006,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist,-1,"Be the first to apply to the next job.
This job already got lots of applicants. Coach Pro gives you real-time alerts so you are the first to apply to the job you want.
Get Coach Pro
En DataStudio, desbloqueamos el poder de los datos. Transformamos información cruda en conocimientos estratégicos, guiando a las empresa hacia decisiones más inteligentes y resultados impactantes. Nuestra experiencia en análisis de datos y Business Intelligence les proporciona las herramientas para convertir datos en ventajas competitivas.
¡Juntos creamos el futuro impulsado por los datos!",-1,DataStudio,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Data Scientist
<br>
Job Description
<br>
CoStar Realty Information, Inc. seeks a Data Scientist to conduct economic data analysis as well as economic research and modeling. Create and execute economic analytic solutions to improve and optimize business performance. Conduct independent and creative quantitative research applied toward the evaluation and improvement of CRE models, data series, and estimations. Perform data visualization and programming/coding. Document models and analytic products and tools for external and internal clients.",2.9,"CoStar Group
2.9","San Francisco, CA",1001 to 5000 Employees,1987,Company - Public,Real Estate,Real Estate,$1 to $5 billion (USD)
College Graduate - Data Science (BS/MS),Employer Provided Salary:$106K - $159K,"Job Description

Intel is a company of bold and curious inventors and problem solvers who create some of the most astounding technology advancements and experiences in the world.

With a legacy of relentless innovation and a commitment to bring smart, connected devices to every person on Earth, our diverse and brilliant teams are continually searching for tomorrow's technology and revel in the challenge that changing the world for the better brings. We work every single day to design and manufacture silicon products that empower peoples digital lives.

Do you love to solve technical challenges that no one has solved yet? Do you enjoy working with cross functional teams to deliver IP solutions for products that impact customers lives? If so, Come join us to do something wonderful.

We are looking for world class data engineers to help us build the future of technology.














Intel's Human Resources group is responsible for hiring, developing and retaining the best and brightest employees while continuing to strengthen the company's culture and values. Intel Human Resources provides first-rate, cost-effective services and support to employees worldwide and is dedicated to advancing Intel's business goals.

US, NM, Albuquerque; US, OR, Hillsboro; US, TX, Austin; US, CA, Folsom; US, CA, Santa Clara; US, GA, Atlanta

Intel strongly encourages employees to be vaccinated against COVID-19. Intel aligns to federal, state, and local laws and as a contractor to the U.S. Government is subject to government mandates that may be issued. Intel policies for COVID-19 including guidance about testing and vaccination are subject to change over time.

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.

We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html

Annual Salary Range for jobs which could be performed in US, California: $105,930.00-$158,890.00


This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",4.1,"INTEL
4.1","Santa Clara, CA",10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
